,url,type
0,https://www.google.com,legitimate
24,https://www.google.com.br,legitimate
34,https://www.google.com.hk,legitimate
42,https://www.google.com.mx,legitimate
58,https://www.google.com.au,legitimate
59,https://www.google.com.tr,legitimate
63,https://www.google.com.tw,legitimate
82,https://www.google.com.ar,legitimate
92,https://www.google.com.ua,legitimate
98,https://www.google.com.pk,legitimate
100,https://www.google.com.sa,legitimate
106,https://www.google.com.eg,legitimate
142,https://www.google.com.ph,legitimate
153,https://www.google.com.sg,legitimate
181,https://www.google.com.ng,legitimate
183,https://www.google.com.vn,legitimate
185,https://www.google.com.co,legitimate
225,https://www.google.com.pe,legitimate
404,https://www.google.com.kw,legitimate
560,https://www.google.com.do,legitimate
567,https://www.google.com.ly,legitimate
578,https://www.google.com.mm,legitimate
732,https://www.google.com.ec,legitimate
781,https://www.google.com.my,legitimate
824,https://www.google.com.gt,legitimate
907,https://www.google.com.af,legitimate
1178,https://www.google.com.pr,legitimate
1371,https://www.google.com.gh,legitimate
1431,https://www.google.com.bd,legitimate
1501,https://www.google.com.cu,legitimate
1556,https://www.google.com.lb,legitimate
1579,https://www.google.com.sv,legitimate
1879,https://www.google.com.bh,legitimate
1935,https://www.google.com.uy,legitimate
2421,https://www.google.com.py,legitimate
2423,https://www.google.com.kh,legitimate
205938,https://www.google.com/,legitimate
205939,https://www.google.com/addurl/?hl=zh-CN&continue=/addurl,legitimate
205940,https://www.google.com/calendar/htmlembed?src=openhomez.com%40gmail.com&mode=MONTH&pvttk=e8afb2c1d5ad2c224821630fe3ae24ac,legitimate
205941,https://www.google.com/finance?cid=1025,legitimate
205942,https://www.google.com/finance?cid=11146246,legitimate
205943,https://www.google.com/finance?cid=11785253,legitimate
205944,https://www.google.com/finance?cid=12417005,legitimate
205945,https://www.google.com/finance?cid=131456,legitimate
205946,https://www.google.com/finance?cid=143360,legitimate
205947,https://www.google.com/finance?cid=16393552,legitimate
205948,https://www.google.com/finance?cid=16533,legitimate
205949,https://www.google.com/finance?cid=16757927,legitimate
205950,https://www.google.com/finance?cid=18840,legitimate
205951,https://www.google.com/finance?cid=201991,legitimate
205952,https://www.google.com/finance?cid=20484,legitimate
205953,https://www.google.com/finance?cid=21553,legitimate
205954,https://www.google.com/finance?cid=25875,legitimate
205955,https://www.google.com/finance?cid=287562,legitimate
205956,https://www.google.com/finance?cid=299152,legitimate
205957,https://www.google.com/finance?cid=38249,legitimate
205958,https://www.google.com/finance?cid=4033439,legitimate
205959,https://www.google.com/finance?cid=4722,legitimate
205960,https://www.google.com/finance?cid=626307,legitimate
